Date,Low,Open,Volume,High,Close,Adjusted Close
14-12-1995,8.5625,8.5625,3943200.0,8.71875,8.71875,7.843267440795898
15-12-1995,8.796875,8.8125,2577000.0,8.921875,8.921875,8.025997161865234
18-12-1995,8.765625,8.90625,1046000.0,8.90625,8.796875,7.913548946380615
19-12-1995,8.71875,8.765625,1140000.0,8.8125,8.78125,7.899491310119629
20-12-1995,8.8125,8.8125,745400.0,8.984375,8.953125,8.054107666015625
21-12-1995,8.9375,8.96875,646400.0,9.0,8.953125,8.054107666015625
22-12-1995,8.953125,8.953125,828200.0,9.0625,9.03125,8.124391555786133
26-12-1995,8.953125,8.984375,212600.0,9.0,8.984375,8.082219123840332
27-12-1995,8.765625,8.953125,815800.0,8.96875,8.8125,7.927603721618652
28-12-1995,8.703125,8.765625,272800.0,8.78125,8.78125,7.899491310119629
29-12-1995,8.609375,8.78125,493400.0,8.78125,8.65625,7.787043571472168
02-01-1996,8.546875,8.59375,1095000.0,8.75,8.703125,7.829212188720703
03-01-1996,8.65625,8.71875,1899800.0,8.734375,8.734375,7.857320785522461
04-01-1996,8.671875,8.71875,1872400.0,8.8125,8.71875,7.843267440795898
05-01-1996,8.703125,8.71875,1389000.0,8.78125,8.78125,7.899491310119629
08-01-1996,8.71875,8.75,397400.0,8.75,8.734375,7.857320785522461
09-01-1996,8.65625,8.71875,455200.0,8.734375,8.6875,7.815155982971191
10-01-1996,8.453125,8.65625,1247600.0,8.6875,8.453125,7.604316234588623
11-01-1996,8.359375,8.453125,1925200.0,8.5,8.390625,7.548092365264893
12-01-1996,8.296875,8.40625,736800.0,8.46875,8.46875,7.618372440338135
15-01-1996,8.453125,8.46875,943400.0,8.765625,8.765625,7.885440349578857
16-01-1996,8.765625,8.765625,2128400.0,8.9375,8.921875,8.025997161865234
17-01-1996,8.84375,8.890625,1992200.0,8.921875,8.921875,8.025997161865234
18-01-1996,8.921875,8.921875,2147800.0,9.125,9.03125,8.124391555786133
19-01-1996,9.015625,9.03125,2725000.0,9.421875,9.234375,8.30711841583252
22-01-1996,9.140625,9.203125,1090600.0,9.296875,9.234375,8.30711841583252
23-01-1996,9.1875,9.234375,739800.0,9.234375,9.234375,8.30711841583252
24-01-1996,9.125,9.125,1090800.0,9.25,9.15625,8.236835479736328
25-01-1996,9.15625,9.171875,720800.0,9.234375,9.21875,8.293063163757324
26-01-1996,9.15625,9.203125,647800.0,9.25,9.234375,8.30711841583252
29-01-1996,9.21875,9.21875,502400.0,9.328125,9.3125,8.377396583557129
30-01-1996,9.234375,9.3125,1089200.0,9.34375,9.3125,8.377396583557129
31-01-1996,9.265625,9.28125,908600.0,9.34375,9.3125,8.377396583557129
01-02-1996,9.203125,9.3125,917000.0,9.3125,9.28125,8.349286079406738
02-02-1996,9.28125,9.328125,746000.0,9.328125,9.3125,8.377396583557129
05-02-1996,9.140625,9.28125,516200.0,9.3125,9.28125,8.349286079406738
06-02-1996,9.25,9.3125,819600.0,9.375,9.34375,8.405512809753418
07-02-1996,9.25,9.3125,1113600.0,9.390625,9.28125,8.349286079406738
08-02-1996,9.265625,9.28125,1408200.0,9.328125,9.3125,8.377396583557129
09-02-1996,9.03125,9.234375,1340400.0,9.265625,9.09375,8.18061351776123
12-02-1996,8.984375,9.03125,1867600.0,9.078125,9.078125,8.166555404663086
13-02-1996,9.078125,9.078125,1266800.0,9.3125,9.265625,8.33522891998291
14-02-1996,9.109375,9.28125,958400.0,9.34375,9.15625,8.236835479736328
15-02-1996,9.109375,9.109375,591600.0,9.234375,9.125,8.208725929260254
16-02-1996,9.046875,9.109375,716400.0,9.125,9.09375,8.18061351776123
20-02-1996,8.90625,8.90625,0.0,8.90625,8.90625,8.011942863464355
21-02-1996,8.828125,8.875,1399800.0,9.03125,8.90625,8.011942863464355
22-02-1996,9.0,9.0,0.0,9.0,9.0,8.096277236938477
23-02-1996,8.921875,9.0,983400.0,9.0625,8.984375,8.082219123840332
26-02-1996,8.953125,9.015625,850000.0,9.03125,8.96875,8.068163871765137
27-02-1996,8.828125,9.0,725600.0,9.015625,8.9375,8.040050506591797
28-02-1996,8.9375,8.9375,1080800.0,9.046875,8.9375,8.040050506591797
29-02-1996,8.9375,8.9375,3140000.0,9.46875,9.453125,8.503900527954102
01-03-1996,9.3125,9.46875,1903800.0,9.5,9.40625,8.46173095703125
04-03-1996,9.390625,9.4375,507600.0,9.609375,9.53125,8.574182510375977
05-03-1996,9.414061546325684,9.46875,600600.0,9.578125,9.546875,8.588240623474121
06-03-1996,9.5,9.53125,1345000.0,9.828125,9.8125,8.827189445495605
07-03-1996,9.71875,9.78125,841400.0,9.84375,9.8125,8.827189445495605
08-03-1996,9.4375,9.65625,976000.0,9.75,9.453125,8.503900527954102
11-03-1996,9.265625,9.4375,1066000.0,9.46875,9.390625,8.447678565979004
12-03-1996,9.25,9.359375,1262200.0,9.453125,9.40625,8.46173095703125
13-03-1996,9.359375,9.4375,741200.0,9.53125,9.46875,8.51795768737793
14-03-1996,9.34375,9.453125,490000.0,9.453125,9.375,8.433622360229492
15-03-1996,9.28125,9.359375,504600.0,9.421875,9.421875,8.475790977478027
18-03-1996,9.390625,9.4375,928600.0,9.5625,9.53125,8.574182510375977
19-03-1996,9.484375,9.5,1950400.0,9.546875,9.515625,8.560123443603516
20-03-1996,9.515625,9.515625,633200.0,9.59375,9.546875,8.588240623474121
21-03-1996,9.484375,9.53125,277400.0,9.5625,9.484375,8.532012939453125
22-03-1996,9.421875,9.5,254600.0,9.53125,9.515625,8.560123443603516
25-03-1996,9.46875,9.5,425200.0,9.546875,9.53125,8.574182510375977
26-03-1996,9.390625,9.484375,397400.0,9.515625,9.46875,8.51795768737793
27-03-1996,9.453125,9.484375,732800.0,9.578125,9.515625,8.560123443603516
28-03-1996,9.5,9.53125,695600.0,9.65625,9.59375,8.630407333374023
29-03-1996,9.4375,9.609375,926400.0,9.609375,9.4375,8.489846229553223
01-04-1996,8.75,9.375,1352400.0,9.4375,9.0,8.096277236938477
02-04-1996,8.984375,9.046875,1980400.0,9.140625,9.0,8.096277236938477
03-04-1996,8.96875,9.0,2165800.0,9.125,9.109375,8.194669723510742
04-04-1996,9.125,9.125,5092000.0,9.390625,9.390625,8.447678565979004
08-04-1996,9.046875,9.234375,2075400.0,9.234375,9.203125,8.279009819030762
09-04-1996,8.828125,9.25,2188800.0,9.28125,8.96875,8.068163871765137
10-04-1996,8.671875,8.984375,2037200.0,8.984375,8.75,7.871381759643555
11-04-1996,8.5625,8.796875,3334400.0,8.8125,8.8125,7.927603721618652
12-04-1996,8.859375,8.890625,2126200.0,9.0625,9.03125,8.124391555786133
15-04-1996,8.984375,9.015625,1237600.0,9.140625,9.125,8.208725929260254
16-04-1996,8.984375,9.15625,2089600.0,9.15625,9.015625,8.110334396362305
