Date,Low,Open,Volume,High,Close,Adjusted Close
14-12-1993,21.4375,21.5,1077400,22.75,22.625,9.168620109558105
15-12-1993,21.75,22.5,897800,22.5,22.125,8.96600341796875
16-12-1993,22.0,22.1875,571200,22.1875,22.125,8.96600341796875
17-12-1993,21.625,22.125,1053000,22.125,21.625,8.76338005065918
20-12-1993,21.625,21.625,1284800,22.3125,22.3125,9.041980743408203
21-12-1993,22.25,22.25,882800,22.875,22.625,9.168620109558105
22-12-1993,22.4375,22.6875,200600,22.6875,22.625,9.168620109558105
23-12-1993,22.6875,22.6875,195800,23.125,23.0625,9.34592056274414
27-12-1993,23.1875,23.1875,68400,23.75,23.625,9.573861122131348
28-12-1993,23.375,23.5625,273600,23.5625,23.5,9.523212432861328
29-12-1993,23.625,23.625,264400,23.8125,23.8125,9.649850845336914
30-12-1993,23.8125,23.8125,156200,24.0625,23.9375,9.700504302978516
31-12-1993,23.625,23.8125,133000,23.875,23.75,9.624520301818848
03-01-1994,23.125,23.8125,467800,23.8125,23.4375,9.497880935668945
04-01-1994,22.3125,23.4375,2250200,23.4375,22.5625,9.143294334411621
05-01-1994,21.75,22.0,2933400,22.1875,22.1875,8.991327285766602
06-01-1994,21.5,22.0,2753200,22.1875,21.75,8.814037322998047
07-01-1994,20.75,21.6875,3428400,21.6875,20.875,8.45944881439209
10-01-1994,20.875,20.9375,1411000,21.5,21.4375,8.687394142150879
11-01-1994,21.1875,21.5,1185400,21.5,21.375,8.66207218170166
12-01-1994,20.875,21.3125,2209200,21.3125,21.0,8.510104179382324
13-01-1994,20.8125,20.9375,1033400,21.0,20.875,8.45944881439209
14-01-1994,20.8125,20.9375,1366000,21.0625,20.9375,8.484777450561523
17-01-1994,20.75,20.875,1157400,21.0,20.9375,8.484777450561523
18-01-1994,20.75,20.9375,1118400,20.9375,20.8125,8.434117317199707
19-01-1994,20.75,20.75,1327800,21.25,21.125,8.56075668334961
20-01-1994,20.8125,21.125,1121400,21.1875,21.0,8.510104179382324
21-01-1994,20.875,21.0625,1460800,21.0625,21.0,8.510104179382324
24-01-1994,20.75,21.0,2101400,21.0,20.8125,8.434117317199707
25-01-1994,20.625,20.75,1470400,20.9375,20.8125,8.434117317199707
26-01-1994,20.75,20.75,723600,20.875,20.8125,8.434117317199707
27-01-1994,20.75,20.8125,1610600,20.9375,20.8125,8.434117317199707
28-01-1994,20.875,20.9375,1285200,21.5625,21.5,8.712722778320312
31-01-1994,21.5,21.5,1316000,22.1875,21.875,8.864690780639648
01-02-1994,21.0,21.125,3041400,21.25,21.125,8.56075668334961
02-02-1994,20.8125,21.0625,3352000,21.0625,21.0,8.510104179382324
03-02-1994,21.0,21.0625,2135600,21.4375,21.375,8.66207218170166
04-02-1994,21.25,21.3125,1256600,21.625,21.3125,8.636740684509277
07-02-1994,21.3125,21.3125,799400,21.8125,21.75,8.814037322998047
08-02-1994,21.375,21.5,916600,21.625,21.4375,8.687394142150879
09-02-1994,21.3125,21.3125,769800,21.5625,21.5625,8.738056182861328
10-02-1994,21.375,21.5,977600,21.6875,21.375,8.66207218170166
11-02-1994,21.25,21.375,690800,21.4375,21.375,8.66207218170166
14-02-1994,21.375,21.4375,616800,21.5625,21.5,8.712722778320312
15-02-1994,21.4375,21.4375,701200,21.75,21.5625,8.738056182861328
16-02-1994,21.5,21.5625,668800,21.8125,21.6875,8.78870964050293
17-02-1994,21.6875,21.8125,995000,22.0,21.6875,8.78870964050293
18-02-1994,21.5,21.6875,434000,21.75,21.5625,8.738056182861328
22-02-1994,21.0625,21.25,1151800,21.4375,21.25,8.611412048339844
23-02-1994,21.25,21.25,1016000,21.4375,21.4375,8.687394142150879
24-02-1994,21.125,21.375,537800,21.375,21.1875,8.58608341217041
25-02-1994,20.9375,21.0625,651200,21.125,20.9375,8.484777450561523
28-02-1994,20.8125,21.0625,520400,21.0625,20.875,8.45944881439209
01-03-1994,20.75,20.8125,751800,20.875,20.875,8.45944881439209
02-03-1994,20.5625,20.75,1084800,20.8125,20.5625,8.332807540893555
03-03-1994,20.25,20.5625,731600,20.5625,20.25,8.206171989440918
04-03-1994,20.0,20.25,1008400,20.3125,20.125,8.155519485473633
07-03-1994,20.0625,20.125,600000,20.125,20.0625,8.13018798828125
08-03-1994,20.0,20.0625,1083600,20.125,20.0625,8.13018798828125
09-03-1994,19.8125,19.8125,268400,20.0625,20.0625,8.212050437927246
10-03-1994,19.8125,20.0,1073200,20.125,19.875,8.135303497314453
11-03-1994,19.875,19.875,297400,20.375,20.3125,8.314386367797852
14-03-1994,20.25,20.4375,343400,20.4375,20.375,8.33996868133545
15-03-1994,20.3125,20.375,630600,20.5625,20.5,8.391131401062012
16-03-1994,20.1875,20.5,474000,20.5625,20.25,8.288804054260254
17-03-1994,20.1875,20.1875,672600,20.5,20.375,8.33996868133545
18-03-1994,20.0,20.375,991400,20.375,20.0625,8.212050437927246
21-03-1994,20.0,20.0625,422000,20.1875,20.0625,8.212050437927246
22-03-1994,19.875,20.0625,550200,20.125,20.125,8.23763370513916
23-03-1994,20.125,20.1875,512000,20.4375,20.4375,8.365549087524414
24-03-1994,20.3125,20.3125,419600,20.625,20.5,8.391131401062012
25-03-1994,20.5,20.625,231600,20.625,20.5,8.391131401062012
28-03-1994,20.3125,20.5625,484600,20.6875,20.6875,8.467881202697754
