Date,Low,Open,Volume,High,Close,Adjusted Close
11-05-2005,10.300000190734863,10.300000190734863,200.0,10.300000190734863,10.300000190734863,7.588621139526367
12-05-2005,,,,,,
13-05-2005,,,,,,
16-05-2005,,,,,,
17-05-2005,,,,,,
18-05-2005,,,,,,
19-05-2005,,,,,,
20-05-2005,,,,,,
23-05-2005,10.5,10.5,4000.0,10.75,10.75,7.920161247253418
24-05-2005,,,,,,
25-05-2005,,,,,,
26-05-2005,,,,,,
27-05-2005,,,,,,
31-05-2005,,,,,,
01-06-2005,,,,,,
02-06-2005,,,,,,
03-06-2005,,,,,,
06-06-2005,,,,,,
07-06-2005,,,,,,
08-06-2005,,,,,,
09-06-2005,,,,,,
10-06-2005,,,,,,
13-06-2005,,,,,,
14-06-2005,,,,,,
15-06-2005,,,,,,
16-06-2005,,,,,,
17-06-2005,,,,,,
20-06-2005,,,,,,
21-06-2005,,,,,,
22-06-2005,,,,,,
23-06-2005,,,,,,
24-06-2005,,,,,,
27-06-2005,,,,,,
28-06-2005,10.600000381469727,10.600000381469727,1000.0,10.600000381469727,10.600000381469727,7.809649467468262
29-06-2005,10.600000381469727,10.600000381469727,4400.0,10.850000381469727,10.850000381469727,7.993838310241699
30-06-2005,,,,,,
01-07-2005,,,,,,
05-07-2005,,,,,,
06-07-2005,,,,,,
07-07-2005,,,,,,
08-07-2005,,,,,,
11-07-2005,10.75,10.75,100.0,10.75,10.75,7.920161247253418
12-07-2005,,,,,,
13-07-2005,,,,,,
14-07-2005,,,,,,
15-07-2005,,,,,,
18-07-2005,,,,,,
19-07-2005,,,,,,
20-07-2005,,,,,,
21-07-2005,,,,,,
22-07-2005,,,,,,
25-07-2005,,,,,,
26-07-2005,,,,,,
27-07-2005,,,,,,
28-07-2005,,,,,,
29-07-2005,,,,,,
01-08-2005,,,,,,
02-08-2005,,,,,,
03-08-2005,,,,,,
04-08-2005,,,,,,
05-08-2005,,,,,,
08-08-2005,,,,,,
09-08-2005,,,,,,
10-08-2005,,,,,,
11-08-2005,,,,,,
12-08-2005,,,,,,
15-08-2005,,,,,,
16-08-2005,,,,,,
17-08-2005,,,,,,
18-08-2005,,,,,,
19-08-2005,,,,,,
22-08-2005,,,,,,
23-08-2005,,,,,,
24-08-2005,,,,,,
25-08-2005,,,,,,
26-08-2005,10.760000228881836,10.760000228881836,22200.0,11.25,11.25,8.288541793823242
29-08-2005,,,,,,
30-08-2005,11.449999809265137,11.449999809265137,11100.0,11.449999809265137,11.449999809265137,8.435892105102539
31-08-2005,,,,,,
01-09-2005,,,,,,
02-09-2005,,,,,,
06-09-2005,,,,,,
07-09-2005,,,,,,
08-09-2005,,,,,,
09-09-2005,,,,,,
12-09-2005,,,,,,
13-09-2005,,,,,,
14-09-2005,,,,,,
15-09-2005,,,,,,
16-09-2005,,,,,,
19-09-2005,,,,,,
20-09-2005,,,,,,
21-09-2005,,,,,,
22-09-2005,,,,,,
23-09-2005,,,,,,
26-09-2005,,,,,,
27-09-2005,,,,,,
28-09-2005,,,,,,
29-09-2005,,,,,,
30-09-2005,,,,,,
03-10-2005,,,,,,
04-10-2005,,,,,,
05-10-2005,,,,,,
06-10-2005,,,,,,
07-10-2005,,,,,,
10-10-2005,,,,,,
11-10-2005,,,,,,
12-10-2005,,,,,,
13-10-2005,,,,,,
14-10-2005,,,,,,
17-10-2005,,,,,,
18-10-2005,,,,,,
19-10-2005,,,,,,
20-10-2005,,,,,,
21-10-2005,,,,,,
24-10-2005,,,,,,
25-10-2005,,,,,,
26-10-2005,,,,,,
27-10-2005,,,,,,
28-10-2005,,,,,,
31-10-2005,,,,,,
01-11-2005,,,,,,
02-11-2005,,,,,,
03-11-2005,,,,,,
04-11-2005,,,,,,
07-11-2005,,,,,,
08-11-2005,11.300000190734863,11.300000190734863,200.0,11.300000190734863,11.300000190734863,8.32537841796875
09-11-2005,,,,,,
10-11-2005,,,,,,
11-11-2005,,,,,,
14-11-2005,,,,,,
15-11-2005,,,,,,
16-11-2005,,,,,,
17-11-2005,,,,,,
18-11-2005,,,,,,
21-11-2005,,,,,,
22-11-2005,,,,,,
23-11-2005,,,,,,
25-11-2005,,,,,,
28-11-2005,,,,,,
29-11-2005,,,,,,
30-11-2005,,,,,,
01-12-2005,,,,,,
02-12-2005,,,,,,
05-12-2005,,,,,,
06-12-2005,,,,,,
07-12-2005,,,,,,
08-12-2005,,,,,,
09-12-2005,,,,,,
12-12-2005,,,,,,
13-12-2005,,,,,,
14-12-2005,,,,,,
15-12-2005,,,,,,
16-12-2005,,,,,,
19-12-2005,,,,,,
20-12-2005,11.5,11.5,200.0,11.5,11.5,8.472731590270996
21-12-2005,11.5,11.5,500.0,11.5,11.5,8.723045349121094
22-12-2005,,,,,,
23-12-2005,,,,,,
27-12-2005,,,,,,
28-12-2005,,,,,,
29-12-2005,,,,,,
30-12-2005,,,,,,
03-01-2006,,,,,,
04-01-2006,,,,,,
05-01-2006,,,,,,
06-01-2006,,,,,,
09-01-2006,,,,,,
10-01-2006,,,,,,
11-01-2006,,,,,,
12-01-2006,,,,,,
13-01-2006,,,,,,
17-01-2006,,,,,,
18-01-2006,,,,,,
19-01-2006,,,,,,
20-01-2006,,,,,,
23-01-2006,,,,,,
24-01-2006,,,,,,
25-01-2006,,,,,,
26-01-2006,11.25,11.25,2200.0,11.75,11.75,8.912675857543945
27-01-2006,,,,,,
30-01-2006,,,,,,
31-01-2006,,,,,,
01-02-2006,11.25,11.25,200.0,11.25,11.25,8.53341293334961
02-02-2006,11.449999809265137,11.449999809265137,2700.0,12.5,12.5,9.481571197509766
03-02-2006,,,,,,
06-02-2006,,,,,,
07-02-2006,,,,,,
08-02-2006,,,,,,
09-02-2006,12.100000381469727,13.0,700.0,13.0,12.100000381469727,9.178160667419434
10-02-2006,12.100000381469727,12.75,3200.0,12.75,12.5,9.481571197509766
13-02-2006,12.5,12.5,1400.0,12.75,12.75,9.671201705932617
14-02-2006,,,,,,
15-02-2006,,,,,,
16-02-2006,,,,,,
17-02-2006,,,,,,
21-02-2006,,,,,,
22-02-2006,,,,,,
23-02-2006,,,,,,
24-02-2006,,,,,,
27-02-2006,,,,,,
28-02-2006,,,,,,
01-03-2006,,,,,,
02-03-2006,,,,,,
03-03-2006,,,,,,
06-03-2006,,,,,,
07-03-2006,12.850000381469727,12.850000381469727,1000.0,12.850000381469727,12.850000381469727,9.747056007385254
08-03-2006,,,,,,
09-03-2006,,,,,,
10-03-2006,,,,,,
13-03-2006,12.850000381469727,12.850000381469727,400.0,12.850000381469727,12.850000381469727,9.747056007385254
14-03-2006,,,,,,
15-03-2006,,,,,,
16-03-2006,,,,,,
17-03-2006,,,,,,
20-03-2006,,,,,,
21-03-2006,,,,,,
22-03-2006,,,,,,
23-03-2006,12.649999618530273,12.649999618530273,2200.0,12.649999618530273,12.649999618530273,9.595349311828613
24-03-2006,,,,,,
27-03-2006,,,,,,
28-03-2006,,,,,,
29-03-2006,12.0,12.350000381469727,4200.0,12.5,12.5,9.481571197509766
30-03-2006,,,,,,
31-03-2006,,,,,,
03-04-2006,,,,,,
04-04-2006,,,,,,
05-04-2006,,,,,,
06-04-2006,,,,,,
07-04-2006,,,,,,
10-04-2006,12.25,12.25,100.0,12.25,12.25,9.291939735412598
11-04-2006,12.25,12.25,100.0,12.25,12.25,9.291939735412598
12-04-2006,,,,,,
13-04-2006,,,,,,
17-04-2006,,,,,,
18-04-2006,,,,,,
19-04-2006,12.350000381469727,12.350000381469727,2200.0,12.350000381469727,12.350000381469727,9.367791175842285
20-04-2006,,,,,,
21-04-2006,,,,,,
24-04-2006,,,,,,
25-04-2006,,,,,,
26-04-2006,,,,,,
27-04-2006,12.350000381469727,12.350000381469727,100.0,12.350000381469727,12.350000381469727,9.367791175842285
28-04-2006,,,,,,
01-05-2006,,,,,,
02-05-2006,,,,,,
03-05-2006,,,,,,
04-05-2006,,,,,,
05-05-2006,,,,,,
08-05-2006,,,,,,
09-05-2006,,,,,,
10-05-2006,,,,,,
11-05-2006,,,,,,
12-05-2006,,,,,,
15-05-2006,,,,,,
16-05-2006,,,,,,
17-05-2006,,,,,,
18-05-2006,,,,,,
19-05-2006,,,,,,
22-05-2006,,,,,,
23-05-2006,,,,,,
24-05-2006,,,,,,
25-05-2006,12.149999618530273,12.149999618530273,100.0,12.149999618530273,12.149999618530273,9.216085433959961
26-05-2006,,,,,,
30-05-2006,,,,,,
31-05-2006,,,,,,
01-06-2006,,,,,,
02-06-2006,,,,,,
05-06-2006,,,,,,
06-06-2006,,,,,,
07-06-2006,,,,,,
08-06-2006,,,,,,
09-06-2006,,,,,,
12-06-2006,,,,,,
13-06-2006,,,,,,
14-06-2006,,,,,,
15-06-2006,,,,,,
16-06-2006,,,,,,
19-06-2006,,,,,,
20-06-2006,,,,,,
21-06-2006,,,,,,
22-06-2006,,,,,,
23-06-2006,,,,,,
26-06-2006,,,,,,
27-06-2006,,,,,,
28-06-2006,,,,,,
29-06-2006,,,,,,
30-06-2006,,,,,,
03-07-2006,,,,,,
05-07-2006,,,,,,
06-07-2006,,,,,,
07-07-2006,,,,,,
10-07-2006,,,,,,
11-07-2006,12.25,12.25,200.0,12.25,12.25,9.291939735412598
12-07-2006,12.5,12.5,200.0,12.5,12.5,9.481571197509766
13-07-2006,,,,,,
14-07-2006,,,,,,
17-07-2006,,,,,,
18-07-2006,,,,,,
19-07-2006,,,,,,
20-07-2006,,,,,,
21-07-2006,,,,,,
24-07-2006,,,,,,
25-07-2006,,,,,,
26-07-2006,,,,,,
27-07-2006,,,,,,
28-07-2006,,,,,,
31-07-2006,,,,,,
01-08-2006,,,,,,
02-08-2006,,,,,,
03-08-2006,,,,,,
04-08-2006,,,,,,
07-08-2006,,,,,,
08-08-2006,,,,,,
09-08-2006,,,,,,
10-08-2006,,,,,,
11-08-2006,,,,,,
14-08-2006,,,,,,
15-08-2006,,,,,,
16-08-2006,,,,,,
17-08-2006,,,,,,
18-08-2006,,,,,,
21-08-2006,,,,,,
22-08-2006,,,,,,
23-08-2006,,,,,,
24-08-2006,,,,,,
25-08-2006,,,,,,
28-08-2006,,,,,,
29-08-2006,,,,,,
30-08-2006,,,,,,
31-08-2006,,,,,,
01-09-2006,,,,,,
05-09-2006,,,,,,
06-09-2006,,,,,,
07-09-2006,,,,,,
08-09-2006,,,,,,
11-09-2006,,,,,,
12-09-2006,,,,,,
13-09-2006,,,,,,
14-09-2006,,,,,,
15-09-2006,,,,,,
18-09-2006,,,,,,
19-09-2006,,,,,,
20-09-2006,,,,,,
21-09-2006,,,,,,
22-09-2006,12.399999618530273,12.399999618530273,300.0,12.399999618530273,12.399999618530273,9.405717849731445
25-09-2006,12.399999618530273,12.399999618530273,30200.0,13.0,12.75,9.671201705932617
26-09-2006,12.5,12.5,500.0,12.5,12.5,9.481571197509766
27-09-2006,12.699999809265137,12.699999809265137,600.0,12.699999809265137,12.699999809265137,9.633275985717773
28-09-2006,,,,,,
29-09-2006,,,,,,
02-10-2006,,,,,,
03-10-2006,,,,,,
04-10-2006,,,,,,
05-10-2006,,,,,,
06-10-2006,,,,,,
09-10-2006,,,,,,
10-10-2006,,,,,,
11-10-2006,,,,,,
12-10-2006,,,,,,
13-10-2006,,,,,,
16-10-2006,,,,,,
17-10-2006,,,,,,
18-10-2006,,,,,,
19-10-2006,,,,,,
20-10-2006,,,,,,
23-10-2006,,,,,,
24-10-2006,,,,,,
25-10-2006,,,,,,
26-10-2006,,,,,,
27-10-2006,,,,,,
30-10-2006,,,,,,
31-10-2006,,,,,,
01-11-2006,,,,,,
02-11-2006,,,,,,
03-11-2006,,,,,,
06-11-2006,,,,,,
07-11-2006,,,,,,
08-11-2006,,,,,,
09-11-2006,,,,,,
10-11-2006,12.550000190734863,12.550000190734863,100.0,12.550000190734863,12.550000190734863,9.519497871398926
13-11-2006,,,,,,
14-11-2006,,,,,,
15-11-2006,,,,,,
16-11-2006,,,,,,
17-11-2006,12.100000381469727,12.550000190734863,2800.0,12.550000190734863,12.100000381469727,9.178160667419434
20-11-2006,12.75,12.75,3300.0,12.75,12.75,9.671201705932617
21-11-2006,,,,,,
22-11-2006,,,,,,
24-11-2006,13.5,13.5,100.0,13.5,13.5,10.240097045898438
27-11-2006,,,,,,
28-11-2006,,,,,,
29-11-2006,,,,,,
30-11-2006,,,,,,
01-12-2006,,,,,,
04-12-2006,,,,,,
05-12-2006,,,,,,
06-12-2006,,,,,,
07-12-2006,,,,,,
08-12-2006,,,,,,
11-12-2006,,,,,,
12-12-2006,,,,,,
13-12-2006,,,,,,
14-12-2006,,,,,,
15-12-2006,,,,,,
18-12-2006,,,,,,
19-12-2006,,,,,,
20-12-2006,,,,,,
21-12-2006,,,,,,
22-12-2006,,,,,,
26-12-2006,,,,,,
27-12-2006,,,,,,
28-12-2006,,,,,,
29-12-2006,,,,,,
03-01-2007,,,,,,
04-01-2007,,,,,,
05-01-2007,,,,,,
08-01-2007,,,,,,
09-01-2007,,,,,,
10-01-2007,,,,,,
11-01-2007,,,,,,
12-01-2007,,,,,,
16-01-2007,,,,,,
17-01-2007,,,,,,
18-01-2007,,,,,,
19-01-2007,,,,,,
22-01-2007,,,,,,
23-01-2007,,,,,,
24-01-2007,,,,,,
25-01-2007,,,,,,
26-01-2007,,,,,,
29-01-2007,,,,,,
30-01-2007,,,,,,
31-01-2007,,,,,,
01-02-2007,,,,,,
02-02-2007,,,,,,
05-02-2007,,,,,,
06-02-2007,,,,,,
07-02-2007,,,,,,
08-02-2007,,,,,,
09-02-2007,,,,,,
12-02-2007,,,,,,
13-02-2007,,,,,,
14-02-2007,,,,,,
15-02-2007,,,,,,
16-02-2007,,,,,,
20-02-2007,,,,,,
21-02-2007,,,,,,
22-02-2007,,,,,,
23-02-2007,,,,,,
26-02-2007,,,,,,
27-02-2007,,,,,,
28-02-2007,13.25,13.25,200.0,13.25,13.25,10.050463676452637
01-03-2007,,,,,,
02-03-2007,,,,,,
05-03-2007,,,,,,
06-03-2007,,,,,,
07-03-2007,,,,,,
08-03-2007,,,,,,
09-03-2007,,,,,,
12-03-2007,,,,,,
13-03-2007,,,,,,
14-03-2007,,,,,,
15-03-2007,,,,,,
16-03-2007,,,,,,
19-03-2007,,,,,,
