Date,Low,Open,Volume,High,Close,Adjusted Close
31-12-1981,8.03125,8.140625,109600,8.25,8.1875,0.7860144376754761
04-01-1982,8.125,8.15625,80800,8.15625,8.125,0.7800143361091614
05-01-1982,7.90625,8.03125,138400,8.125,7.90625,0.759013295173645
06-01-1982,7.65625,7.78125,151600,7.90625,7.71875,0.7410131096839905
07-01-1982,7.625,7.6875,96800,7.71875,7.65625,0.7350131869316101
08-01-1982,7.65625,7.71875,258800,7.75,7.6875,0.7380128502845764
11-01-1982,7.46875,7.59375,160000,7.6875,7.46875,0.7170125246047974
12-01-1982,7.125,7.3125,249200,7.46875,7.28125,0.6990125179290771
13-01-1982,7.125,7.21875,227200,7.3125,7.15625,0.6870125532150269
14-01-1982,7.125,7.1875,52800,7.25,7.1875,0.6900120973587036
15-01-1982,7.1875,7.25,75200,7.3125,7.25,0.6960123181343079
18-01-1982,7.09375,7.1875,243200,7.25,7.09375,0.6810120940208435
19-01-1982,7.21875,7.28125,395600,7.34375,7.3125,0.7020124793052673
20-01-1982,7.3125,7.5,548000,7.65625,7.59375,0.7290128469467163
21-01-1982,7.65625,7.75,395600,7.8125,7.75,0.7440133094787598
22-01-1982,7.6875,7.71875,341600,7.75,7.71875,0.7410131096839905
25-01-1982,7.625,7.6875,253600,7.71875,7.71875,0.7410131096839905
26-01-1982,7.65625,7.75,262800,7.8125,7.65625,0.7350131869316101
27-01-1982,7.5,7.59375,349600,7.65625,7.5,0.7200124859809875
28-01-1982,7.46875,7.53125,154000,7.59375,7.5,0.7200124859809875
29-01-1982,7.5625,7.71875,309600,7.84375,7.8125,0.7500132322311401
01-02-1982,7.625,7.71875,272000,7.78125,7.625,0.7320130467414856
02-02-1982,7.53125,7.625,140400,7.6875,7.625,0.7320130467414856
03-02-1982,7.5625,7.65625,142000,7.75,7.5625,0.7260128259658813
04-02-1982,7.53125,7.59375,93600,7.625,7.5625,0.7260128259658813
05-02-1982,7.6875,7.8125,149600,7.90625,7.875,0.7560135126113892
08-02-1982,7.90625,8.0,177200,8.0625,7.9375,0.7620135545730591
09-02-1982,7.96875,8.0,108400,8.03125,8.0,0.7680138349533081
10-02-1982,7.9375,8.0625,299200,8.15625,7.9375,0.7620135545730591
11-02-1982,7.9375,7.96875,138800,7.96875,7.9375,0.7620135545730591
12-02-1982,7.90625,7.9375,42400,7.96875,7.9375,0.7620135545730591
16-02-1982,7.6875,7.71875,258400,7.75,7.71875,0.7502281069755554
17-02-1982,7.625,7.71875,221200,7.78125,7.625,0.7411166429519653
18-02-1982,7.5,7.59375,101200,7.65625,7.5625,0.7350414395332336
19-02-1982,7.40625,7.46875,254400,7.53125,7.40625,0.7198548913002014
22-02-1982,7.4375,7.5,174800,7.5625,7.4375,0.7228924632072449
23-02-1982,7.1875,7.3125,281200,7.40625,7.3125,0.7107428908348083
24-02-1982,7.1875,7.25,208000,7.3125,7.21875,0.7016305327415466
25-02-1982,7.1875,7.21875,405200,7.25,7.1875,0.698593020439148
26-02-1982,7.15625,7.21875,72000,7.25,7.15625,0.6955560445785522
01-03-1982,7.125,7.21875,287200,7.28125,7.125,0.6925188899040222
02-03-1982,7.125,7.1875,124400,7.21875,7.125,0.6925188899040222
03-03-1982,7.0625,7.09375,262800,7.09375,7.0625,0.6864440441131592
04-03-1982,6.96875,7.03125,157600,7.09375,6.96875,0.6773317456245422
05-03-1982,6.875,6.9375,179200,7.0,6.90625,0.6712573170661926
08-03-1982,6.28125,6.53125,782800,6.75,6.28125,0.610509991645813
09-03-1982,6.28125,6.4375,776400,6.59375,6.46875,0.6287343502044678
10-03-1982,6.59375,6.75,308000,6.90625,6.8125,0.6621447205543518
11-03-1982,6.65625,6.8125,330800,6.9375,6.65625,0.6469582915306091
12-03-1982,6.53125,6.59375,127200,6.625,6.5625,0.6378461718559265
15-03-1982,6.5625,6.59375,90400,6.625,6.625,0.6439208984375
16-03-1982,6.59375,6.71875,618800,6.84375,6.75,0.6560704708099365
17-03-1982,6.6875,6.75,107200,6.8125,6.78125,0.6591076254844666
18-03-1982,6.75,6.8125,57200,6.84375,6.78125,0.6591076254844666
19-03-1982,6.78125,6.8125,84400,6.84375,6.78125,0.6591076254844666
22-03-1982,6.8125,6.96875,164000,7.09375,7.0625,0.6864440441131592
23-03-1982,6.90625,7.03125,168400,7.125,6.90625,0.6712573170661926
24-03-1982,6.84375,6.9375,237600,7.03125,6.875,0.6682195663452148
25-03-1982,6.875,6.90625,216000,6.9375,6.9375,0.67429518699646
26-03-1982,6.90625,6.9375,121600,6.96875,6.90625,0.6712573170661926
29-03-1982,6.875,6.9375,52400,6.96875,6.875,0.6682195663452148
30-03-1982,6.8125,6.875,319200,6.90625,6.8125,0.6621447205543518
31-03-1982,6.5,6.65625,320800,6.8125,6.5,0.6317716240882874
01-04-1982,6.46875,6.625,218800,6.78125,6.78125,0.6591076254844666
02-04-1982,6.90625,6.9375,246400,6.96875,6.96875,0.6773317456245422
05-04-1982,6.90625,6.96875,410000,7.0,6.96875,0.6773317456245422
06-04-1982,6.875,6.9375,178800,6.96875,6.90625,0.6712573170661926
07-04-1982,6.84375,6.875,83600,6.90625,6.875,0.6682195663452148
08-04-1982,6.71875,6.78125,164000,6.84375,6.75,0.6560704708099365
12-04-1982,6.5625,6.65625,212400,6.75,6.65625,0.6469582915306091
13-04-1982,6.6875,6.75,404400,6.8125,6.71875,0.6530328989028931
14-04-1982,6.75,6.78125,65200,6.8125,6.78125,0.6591076254844666
15-04-1982,6.78125,6.84375,219200,6.875,6.84375,0.6651821136474609
16-04-1982,6.78125,6.8125,575200,6.84375,6.8125,0.6621447205543518
19-04-1982,6.8125,6.875,898400,6.90625,6.875,0.6682195663452148
20-04-1982,6.875,7.0,666400,7.125,7.0625,0.6864440441131592
21-04-1982,7.03125,7.21875,321600,7.375,7.1875,0.698593020439148
22-04-1982,7.15625,7.3125,471200,7.4375,7.34375,0.7137801647186279
23-04-1982,7.3125,7.46875,490400,7.59375,7.5625,0.7350414395332336
26-04-1982,7.59375,7.6875,366400,7.78125,7.78125,0.7563030123710632
27-04-1982,7.8125,7.875,494800,7.90625,7.90625,0.7684524059295654
28-04-1982,7.84375,7.96875,573600,8.0625,7.875,0.7654153108596802
29-04-1982,7.71875,7.78125,323200,7.84375,7.71875,0.7502281069755554
30-04-1982,7.6875,7.71875,163200,7.75,7.75,0.753265917301178
03-05-1982,7.65625,7.71875,137200,7.75,7.71875,0.7502281069755554
04-05-1982,7.71875,7.875,183200,8.0,7.90625,0.7684524059295654
05-05-1982,7.90625,8.03125,551200,8.125,8.0,0.7775644659996033
06-05-1982,8.0,8.125,432800,8.25,8.1875,0.7957893013954163
07-05-1982,8.28125,8.40625,802400,8.5,8.5,0.8261625170707703
10-05-1982,8.375,8.4375,1247200,8.5,8.40625,0.8170505166053772
11-05-1982,8.1875,8.3125,540000,8.40625,8.375,0.8235652446746826
12-05-1982,8.21875,8.3125,216000,8.375,8.25,0.8112732172012329
13-05-1982,8.1875,8.25,167200,8.28125,8.1875,0.8051276206970215
14-05-1982,8.15625,8.1875,110800,8.21875,8.15625,0.8020540475845337
