Date,Low,Open,Volume,High,Close,Adjusted Close
06-12-2005,22.600000381469727,22.600000381469727,0,22.600000381469727,22.600000381469727,17.61876678466797
07-12-2005,23.049999237060547,23.049999237060547,400,23.049999237060547,23.049999237060547,17.96958351135254
08-12-2005,23.049999237060547,23.049999237060547,0,23.049999237060547,23.049999237060547,17.96958351135254
09-12-2005,23.5,23.5,100,23.5,23.5,18.32040023803711
12-12-2005,23.5,23.5,0,23.5,23.5,18.32040023803711
13-12-2005,23.5,23.5,0,23.5,23.5,18.32040023803711
14-12-2005,23.5,23.5,0,23.5,23.5,18.32040023803711
15-12-2005,23.5,23.5,0,23.5,23.5,18.32040023803711
16-12-2005,23.5,23.5,0,23.5,23.5,18.32040023803711
19-12-2005,23.5,23.5,0,23.5,23.5,18.32040023803711
20-12-2005,23.5,23.5,0,23.5,23.5,18.32040023803711
21-12-2005,23.5,23.5,0,23.5,23.5,18.32040023803711
22-12-2005,23.5,23.5,0,23.5,23.5,18.32040023803711
23-12-2005,23.5,23.5,0,23.5,23.5,18.32040023803711
27-12-2005,23.5,23.5,0,23.5,23.5,18.32040023803711
28-12-2005,25.5,25.5,100,25.5,25.5,19.87958526611328
29-12-2005,26.0,26.0,500,26.0,26.0,20.269378662109375
30-12-2005,26.0,26.0,0,26.0,26.0,20.269378662109375
03-01-2006,26.0,26.0,0,26.0,26.0,20.269378662109375
04-01-2006,26.0,26.0,0,26.0,26.0,20.269378662109375
05-01-2006,26.0,26.0,0,26.0,26.0,20.269378662109375
06-01-2006,26.0,26.0,0,26.0,26.0,20.269378662109375
09-01-2006,26.0,26.0,0,26.0,26.0,20.269378662109375
10-01-2006,26.0,26.0,0,26.0,26.0,20.269378662109375
11-01-2006,26.0,26.0,0,26.0,26.0,20.269378662109375
12-01-2006,27.25,27.25,100,27.25,27.25,21.243867874145508
13-01-2006,27.25,27.25,0,27.25,27.25,21.243867874145508
17-01-2006,27.25,27.25,0,27.25,27.25,21.243867874145508
18-01-2006,27.25,27.25,0,27.25,27.25,21.243867874145508
19-01-2006,27.25,27.25,0,27.25,27.25,21.243867874145508
20-01-2006,25.350000381469727,25.350000381469727,600,25.350000381469727,25.350000381469727,19.76264762878418
23-01-2006,23.600000381469727,23.600000381469727,100,23.600000381469727,23.600000381469727,18.398361206054688
24-01-2006,23.600000381469727,23.600000381469727,0,23.600000381469727,23.600000381469727,18.398361206054688
25-01-2006,23.600000381469727,23.600000381469727,0,23.600000381469727,23.600000381469727,18.398361206054688
26-01-2006,25.5,25.5,100,25.5,25.5,19.87958526611328
27-01-2006,25.5,25.5,0,25.5,25.5,19.87958526611328
30-01-2006,25.75,25.75,200,25.75,25.75,20.07448387145996
31-01-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
01-02-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
02-02-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
03-02-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
06-02-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
07-02-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
08-02-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
09-02-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
10-02-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
13-02-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
14-02-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
15-02-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
16-02-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
17-02-2006,25.75,25.75,0,25.75,25.75,20.07448387145996
21-02-2006,22.549999237060547,22.549999237060547,600,22.549999237060547,22.549999237060547,17.57978630065918
22-02-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
23-02-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
24-02-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
27-02-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
28-02-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
01-03-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
02-03-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
03-03-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
06-03-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
07-03-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
08-03-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
09-03-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
10-03-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
13-03-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
14-03-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
15-03-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
16-03-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
17-03-2006,22.549999237060547,22.549999237060547,0,22.549999237060547,22.549999237060547,17.57978630065918
20-03-2006,23.450000762939453,23.450000762939453,100,23.450000762939453,23.450000762939453,18.281423568725586
21-03-2006,23.450000762939453,23.450000762939453,0,23.450000762939453,23.450000762939453,18.281423568725586
22-03-2006,23.5,23.5,1200,23.5,23.5,18.32040023803711
23-03-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
24-03-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
27-03-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
28-03-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
29-03-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
30-03-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
31-03-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
03-04-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
04-04-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
05-04-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
06-04-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
07-04-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
10-04-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
11-04-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
12-04-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
13-04-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
17-04-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
18-04-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
19-04-2006,23.5,23.5,0,23.5,23.5,18.32040023803711
20-04-2006,27.100000381469727,27.100000381469727,500,27.100000381469727,27.100000381469727,21.126930236816406
21-04-2006,27.100000381469727,27.100000381469727,0,27.100000381469727,27.100000381469727,21.126930236816406
24-04-2006,27.100000381469727,27.100000381469727,0,27.100000381469727,27.100000381469727,21.126930236816406
25-04-2006,27.100000381469727,27.100000381469727,0,27.100000381469727,27.100000381469727,21.126930236816406
26-04-2006,27.100000381469727,27.100000381469727,0,27.100000381469727,27.100000381469727,21.126930236816406
27-04-2006,27.100000381469727,27.100000381469727,0,27.100000381469727,27.100000381469727,21.126930236816406
28-04-2006,27.100000381469727,27.100000381469727,0,27.100000381469727,27.100000381469727,21.126930236816406
01-05-2006,27.100000381469727,27.100000381469727,0,27.100000381469727,27.100000381469727,21.126930236816406
02-05-2006,27.100000381469727,27.100000381469727,0,27.100000381469727,27.100000381469727,21.126930236816406
03-05-2006,27.100000381469727,27.100000381469727,0,27.100000381469727,27.100000381469727,21.126930236816406
04-05-2006,27.100000381469727,27.100000381469727,0,27.100000381469727,27.100000381469727,21.126930236816406
05-05-2006,27.100000381469727,27.100000381469727,0,27.100000381469727,27.100000381469727,21.126930236816406
08-05-2006,27.100000381469727,27.100000381469727,0,27.100000381469727,27.100000381469727,21.126930236816406
