Date,Low,Open,Volume,High,Close,Adjusted Close
08-10-1997,50.5,52.25,1556300,52.5,50.5,2.719918727874756
09-10-1997,50.5,50.5,150775,51.75,51.25,2.7603137493133545
10-10-1997,50.0,51.0,92425,51.0,51.0,2.74685001373291
13-10-1997,50.25,51.0,49100,51.0,50.25,2.706453323364258
14-10-1997,49.75,50.25,133900,50.5,49.75,2.679523468017578
15-10-1997,49.5,49.5,58200,50.25,49.75,2.679523468017578
16-10-1997,49.5,50.25,109850,50.75,49.75,2.679523468017578
17-10-1997,48.5,49.5,62150,49.75,49.0,2.6391289234161377
20-10-1997,49.0,49.25,41075,49.5,49.25,2.652595281600952
21-10-1997,49.0,49.25,29800,49.25,49.25,2.652595281600952
22-10-1997,49.0,49.0,50050,50.0,49.75,2.679523468017578
23-10-1997,47.5,48.5,132675,48.75,48.0,2.5852701663970947
24-10-1997,48.0,48.0,143950,48.5,48.0,2.5852701663970947
27-10-1997,46.5,48.0,153250,48.25,46.5,2.5044803619384766
28-10-1997,45.0,46.0,50750,48.0,47.5,2.5583388805389404
29-10-1997,46.25,46.25,106925,48.5,47.75,2.5718042850494385
30-10-1997,46.5,46.5,9650,48.0,47.5,2.5583388805389404
31-10-1997,47.5,47.75,7350,48.0,47.5,2.5583388805389404
03-11-1997,47.75,47.75,16450,48.5,48.25,2.5987350940704346
04-11-1997,47.0,48.0,29500,48.25,47.25,2.5448737144470215
05-11-1997,47.0,47.25,49000,47.5,47.25,2.5448737144470215
06-11-1997,46.75,47.0,47000,47.5,46.75,2.517943859100342
07-11-1997,45.5,46.5,37825,47.0,45.5,2.4506194591522217
10-11-1997,44.0,46.0,47625,46.25,44.0,2.369830369949341
11-11-1997,43.5,44.5,36225,44.75,44.75,2.4102249145507812
12-11-1997,42.5,44.75,35675,44.75,42.5,2.2890408039093018
13-11-1997,42.0,43.0,44300,43.75,42.75,2.3025050163269043
14-11-1997,41.5,43.0,31275,43.0,41.75,2.248645544052124
17-11-1997,41.0,41.5,46550,42.0,41.0,2.208250045776367
18-11-1997,41.5,41.5,44400,43.5,43.5,2.3428995609283447
19-11-1997,43.5,43.5,8950,44.25,44.0,2.369830369949341
20-11-1997,43.5,44.0,21225,44.0,43.75,2.3563649654388428
21-11-1997,43.5,44.0,12375,44.25,43.75,2.3563649654388428
24-11-1997,43.0,43.75,22850,44.0,43.25,2.329435348510742
25-11-1997,42.5,43.5,7025,43.5,42.5,2.2890408039093018
26-11-1997,42.5,43.0,48425,43.25,42.75,2.3025050163269043
28-11-1997,42.75,42.75,5000,43.25,43.0,2.315969944000244
01-12-1997,42.75,43.0,7800,43.25,42.75,2.3025050163269043
02-12-1997,43.0,43.25,3550,43.75,43.5,2.3428995609283447
03-12-1997,42.75,43.75,4950,43.75,43.0,2.315969944000244
04-12-1997,42.5,42.5,40000,45.25,45.25,2.437154531478882
05-12-1997,43.25,45.25,18825,45.25,44.0,2.369830369949341
08-12-1997,43.0,44.0,5000,44.0,43.25,2.329435348510742
09-12-1997,41.5,43.0,12075,43.0,41.5,2.2351808547973633
10-12-1997,41.5,42.0,28175,42.5,41.75,2.248645544052124
11-12-1997,41.0,41.5,12325,41.75,41.25,2.2217156887054443
