Date,Low,Open,Volume,High,Close,Adjusted Close
28-06-1990,9.96875,10.09375,176400,10.09375,9.96875,2.1192591190338135
29-06-1990,10.0,10.03125,69200,10.0625,10.0625,2.1391892433166504
02-07-1990,10.0,10.0,62000,10.03125,10.03125,2.1325466632843018
03-07-1990,10.03125,10.03125,29600,10.0625,10.0625,2.1391892433166504
05-07-1990,9.65625,9.71875,31200,9.71875,9.6875,2.0594682693481445
06-07-1990,9.75,9.75,21200,9.75,9.75,2.0727550983428955
09-07-1990,9.8125,9.8125,19600,9.8125,9.8125,2.0860424041748047
10-07-1990,9.78125,9.78125,6400,9.875,9.875,2.0993292331695557
11-07-1990,9.875,9.875,22400,9.9375,9.9375,2.1126155853271484
12-07-1990,9.90625,9.90625,3200,9.96875,9.96875,2.1192591190338135
13-07-1990,10.0625,10.0625,5200,10.125,10.125,2.1524770259857178
16-07-1990,10.15625,10.15625,8000,10.25,10.25,2.179050922393799
17-07-1990,10.25,10.25,16800,10.4375,10.4375,2.2189111709594727
18-07-1990,10.3125,10.375,6000,10.375,10.3125,2.1923375129699707
19-07-1990,10.3125,10.3125,18000,10.34375,10.34375,2.1989808082580566
20-07-1990,10.3125,10.34375,1600,10.34375,10.3125,2.1923375129699707
23-07-1990,10.28125,10.28125,8000,10.28125,10.28125,2.1856942176818848
24-07-1990,10.3125,10.3125,800,10.3125,10.3125,2.1923375129699707
25-07-1990,10.34375,10.34375,4400,10.375,10.375,2.2056243419647217
26-07-1990,10.3125,10.3125,800,10.3125,10.3125,2.1923375129699707
27-07-1990,10.25,10.25,800,10.25,10.25,2.179050922393799
30-07-1990,10.28125,10.28125,400,10.28125,10.28125,2.1856942176818848
31-07-1990,10.34375,10.34375,12400,10.4375,10.4375,2.2189111709594727
01-08-1990,10.375,10.4375,3600,10.4375,10.4375,2.2189111709594727
02-08-1990,10.3125,10.4375,12800,10.4375,10.3125,2.1923375129699707
03-08-1990,10.34375,10.40625,12800,10.4375,10.34375,2.1989808082580566
06-08-1990,9.875,10.3125,41200,10.3125,9.9375,2.1126155853271484
07-08-1990,9.9375,9.9375,800,9.9375,9.9375,2.1126155853271484
08-08-1990,9.6875,9.75,75200,9.75,9.6875,2.0594682693481445
09-08-1990,9.8125,9.8125,12000,9.8125,9.8125,2.0860424041748047
10-08-1990,9.90625,9.90625,17600,9.96875,9.90625,2.105973243713379
13-08-1990,9.96875,9.96875,22800,10.15625,10.15625,2.159119129180908
14-08-1990,10.21875,10.3125,82800,10.375,10.3125,2.1923375129699707
15-08-1990,10.25,10.34375,5200,10.34375,10.28125,2.1856942176818848
16-08-1990,10.1875,10.1875,20800,10.25,10.25,2.179050922393799
17-08-1990,9.875,10.25,55200,10.25,10.0,2.1259031295776367
20-08-1990,9.625,9.6875,9200,9.6875,9.6875,2.0594682693481445
21-08-1990,9.375,9.4375,8800,9.4375,9.375,1.9930340051651
22-08-1990,9.3125,9.3125,800,9.3125,9.3125,1.9797472953796387
23-08-1990,9.15625,9.21875,7200,9.21875,9.1875,1.9531736373901367
24-08-1990,9.1875,9.1875,4800,9.1875,9.1875,1.9531736373901367
27-08-1990,9.125,9.25,6400,9.25,9.125,1.939886212348938
28-08-1990,9.125,9.1875,11600,9.21875,9.125,1.939886212348938
29-08-1990,9.125,9.1875,6800,9.25,9.25,1.9664605855941772
30-08-1990,9.1875,9.1875,1200,9.21875,9.21875,1.959816813468933
31-08-1990,9.0625,9.15625,3600,9.15625,9.0625,1.9265999794006348
04-09-1990,8.8125,8.875,6400,8.875,8.8125,1.8734524250030518
05-09-1990,8.90625,8.90625,400,8.90625,8.90625,1.8933820724487305
06-09-1990,8.78125,8.78125,800,8.84375,8.84375,1.880096197128296
07-09-1990,8.5,8.75,16400,8.75,8.59375,1.8269474506378174
10-09-1990,8.5,8.5625,3600,8.59375,8.59375,1.8269474506378174
11-09-1990,8.375,8.4375,42000,8.4375,8.40625,1.7870872020721436
12-09-1990,8.4375,8.5,1200,8.5,8.46875,1.8003737926483154
13-09-1990,8.34375,8.5,3600,8.5,8.375,1.7804441452026367
