Date,Low,Open,Volume,High,Close,Adjusted Close
16-10-1995,5.75,5.75,62000,5.8125,5.8125,2.0747575759887695
17-10-1995,5.8125,5.8125,53200,5.8125,5.8125,2.0747575759887695
18-10-1995,5.78125,5.78125,72000,5.84375,5.8125,2.0747575759887695
19-10-1995,5.8125,5.84375,5200,5.84375,5.8125,2.0747575759887695
20-10-1995,5.65625,5.71875,16400,5.71875,5.65625,2.0189836025238037
23-10-1995,5.25,5.46875,34000,5.46875,5.25,1.873975396156311
24-10-1995,5.125,5.1875,50400,5.34375,5.34375,1.9074385166168213
25-10-1995,5.21875,5.3125,65600,5.3125,5.21875,1.8628196716308594
26-10-1995,5.1875,5.28125,63200,5.28125,5.1875,1.851664423942566
27-10-1995,5.125,5.125,145200,5.40625,5.40625,1.9297466278076172
30-10-1995,5.3125,5.46875,65200,5.5,5.40625,1.9297466278076172
31-10-1995,5.59375,5.65625,88400,5.75,5.625,2.0078284740448
01-11-1995,5.5625,5.65625,45200,5.65625,5.59375,1.9966751337051392
02-11-1995,5.5625,5.5625,13200,5.6875,5.6875,2.0301380157470703
03-11-1995,5.6875,5.71875,35200,5.71875,5.71875,2.041292667388916
06-11-1995,5.65625,5.65625,110000,5.75,5.75,2.0524487495422363
07-11-1995,5.625,5.625,16800,5.6875,5.6875,2.0301380157470703
08-11-1995,5.65625,5.65625,33600,5.65625,5.65625,2.0189836025238037
09-11-1995,5.59375,5.6875,12000,5.6875,5.59375,1.9966751337051392
10-11-1995,5.5625,5.5625,11200,5.59375,5.59375,1.9966751337051392
13-11-1995,5.59375,5.625,14000,5.71875,5.71875,2.041292667388916
14-11-1995,5.65625,5.65625,12800,5.71875,5.71875,2.041292667388916
15-11-1995,5.625,5.65625,5600,5.65625,5.625,2.0078284740448
16-11-1995,5.6875,5.71875,4800,5.71875,5.6875,2.0301380157470703
17-11-1995,5.6875,5.6875,11200,5.71875,5.6875,2.0301380157470703
20-11-1995,5.6875,5.6875,10000,5.75,5.71875,2.041292667388916
21-11-1995,5.71875,5.71875,0,5.71875,5.71875,2.041292667388916
22-11-1995,5.75,5.75,1600,5.75,5.75,2.0524487495422363
24-11-1995,5.78125,5.78125,400,5.78125,5.78125,2.06360125541687
27-11-1995,5.78125,5.78125,8000,5.8125,5.8125,2.0747575759887695
28-11-1995,5.75,5.75,6800,5.78125,5.78125,2.06360125541687
29-11-1995,5.71875,5.71875,9200,5.71875,5.71875,2.041292667388916
30-11-1995,5.71875,5.75,18800,5.75,5.75,2.0524487495422363
01-12-1995,5.75,5.75,25200,5.84375,5.8125,2.0747575759887695
04-12-1995,5.84375,5.875,5600,5.875,5.875,2.0970664024353027
05-12-1995,5.875,5.9375,16400,5.9375,5.875,2.0970664024353027
06-12-1995,5.875,5.90625,42400,5.9375,5.90625,2.108220338821411
07-12-1995,5.875,5.875,4800,5.875,5.875,2.0970664024353027
08-12-1995,5.84375,5.875,7600,5.875,5.875,2.0970664024353027
11-12-1995,5.8125,5.84375,2800,5.84375,5.8125,2.0747575759887695
12-12-1995,5.625,5.65625,14400,5.6875,5.625,2.0078284740448
13-12-1995,5.625,5.625,6800,5.625,5.625,2.0078284740448
14-12-1995,5.625,5.625,0,5.625,5.625,2.0078284740448
15-12-1995,5.65625,5.71875,7200,5.71875,5.65625,2.0189836025238037
18-12-1995,5.5,5.5625,27200,5.5625,5.5,1.963210105895996
19-12-1995,5.46875,5.46875,3200,5.53125,5.53125,1.974364995956421
20-12-1995,5.625,5.65625,3600,5.65625,5.625,2.0078284740448
21-12-1995,5.625,5.625,0,5.625,5.625,2.0078284740448
22-12-1995,5.625,5.625,2800,5.6875,5.6875,2.0301380157470703
26-12-1995,5.6875,5.6875,2400,5.6875,5.6875,2.0301380157470703
27-12-1995,5.6875,5.6875,2800,5.71875,5.71875,2.041292667388916
28-12-1995,5.6875,5.6875,2000,5.75,5.75,2.0524487495422363
29-12-1995,5.75,5.75,800,5.75,5.75,2.0524487495422363
02-01-1996,5.71875,5.75,7600,5.78125,5.78125,2.06360125541687
03-01-1996,5.75,5.75,86800,5.875,5.84375,2.085911750793457
04-01-1996,5.84375,5.84375,5600,5.90625,5.90625,2.108220338821411
05-01-1996,5.90625,5.90625,2000,5.90625,5.90625,2.108220338821411
08-01-1996,5.90625,5.90625,38800,5.9375,5.9375,2.119375467300415
09-01-1996,5.875,5.875,4000,5.90625,5.90625,2.108220338821411
10-01-1996,5.75,5.84375,15200,5.84375,5.75,2.0524487495422363
11-01-1996,5.6875,5.75,4000,5.75,5.71875,2.041292667388916
12-01-1996,5.71875,5.71875,0,5.71875,5.71875,2.041292667388916
15-01-1996,5.78125,5.78125,1600,5.78125,5.78125,2.06360125541687
16-01-1996,5.78125,5.8125,7200,5.8125,5.8125,2.0747575759887695
17-01-1996,5.84375,5.90625,20800,5.90625,5.90625,2.108220338821411
18-01-1996,5.90625,5.90625,9600,5.9375,5.9375,2.119375467300415
19-01-1996,5.9375,5.9375,48000,5.96875,5.96875,2.1305298805236816
22-01-1996,5.875,5.96875,15200,5.96875,5.875,2.0970664024353027
23-01-1996,5.84375,5.875,3200,5.875,5.84375,2.085911750793457
24-01-1996,5.875,5.875,7200,5.90625,5.90625,2.108220338821411
25-01-1996,5.84375,5.90625,8000,5.90625,5.84375,2.085911750793457
26-01-1996,5.78125,5.78125,12800,5.84375,5.84375,2.085911750793457
29-01-1996,5.875,5.875,2800,5.875,5.875,2.0970664024353027
30-01-1996,5.90625,5.90625,39600,6.03125,6.03125,2.152839422225952
31-01-1996,6.03125,6.03125,24000,6.03125,6.03125,2.152839422225952
