Date,Low,Open,Volume,High,Close,Adjusted Close
31-12-1981,13.875,13.9375,449200,14.0,13.96875,5.346465587615967
04-01-1982,13.5,13.75,630400,13.96875,13.6875,5.238816261291504
05-01-1982,13.0,13.25,1076800,13.46875,13.0,4.97567892074585
06-01-1982,12.75,12.875,1560400,12.96875,12.875,4.927834510803223
07-01-1982,12.5,12.71875,1303600,12.9375,12.625,4.832149505615234
08-01-1982,12.6875,12.8125,991200,12.90625,12.78125,4.8919501304626465
11-01-1982,12.25,12.59375,1479600,12.9375,12.3125,4.712541103363037
12-01-1982,12.28125,12.5,1089600,12.6875,12.65625,4.84411096572876
13-01-1982,12.21875,12.65625,1231200,13.0625,12.375,4.73646354675293
14-01-1982,12.375,12.53125,1068400,12.65625,12.65625,4.84411096572876
15-01-1982,12.59375,12.6875,724400,12.75,12.6875,4.856071472167969
18-01-1982,12.40625,12.59375,897600,12.78125,12.78125,4.8919501304626465
19-01-1982,12.40625,12.59375,722000,12.78125,12.40625,4.748422145843506
20-01-1982,11.96875,12.21875,1852800,12.4375,12.1875,4.664699554443359
21-01-1982,11.9375,12.125,1187200,12.3125,12.0625,4.616855144500732
22-01-1982,11.8125,12.0,868000,12.15625,11.8125,4.521170139312744
25-01-1982,11.6875,12.09375,1900800,12.46875,12.46875,4.772345542907715
26-01-1982,12.1875,12.375,1143200,12.53125,12.1875,4.664699554443359
27-01-1982,12.25,12.46875,1310800,12.6875,12.53125,4.796267986297607
28-01-1982,12.625,12.875,1169200,13.09375,13.0625,4.999602794647217
29-01-1982,13.28125,13.4375,2861600,13.59375,13.5,5.167053699493408
01-02-1982,12.65625,12.9375,1345200,13.21875,12.71875,4.868030548095703
02-02-1982,12.625,12.78125,1434400,12.90625,12.75,4.87999153137207
03-02-1982,12.125,12.5,1294800,12.875,12.21875,4.67666482925415
04-02-1982,12.125,12.3125,1818000,12.5,12.5,4.784305095672607
05-02-1982,12.40625,12.65625,1472000,12.875,12.625,4.832149505615234
08-02-1982,12.0,12.21875,1396400,12.4375,12.03125,4.604897499084473
09-02-1982,11.875,12.09375,1279200,12.3125,12.15625,4.65273904800415
10-02-1982,12.15625,12.375,1146000,12.5625,12.25,4.6886210441589355
11-02-1982,11.875,12.09375,1359200,12.3125,11.9375,4.569012641906738
12-02-1982,11.90625,12.03125,1182800,12.125,12.0,4.592935085296631
16-02-1982,11.75,12.09375,1678400,12.4375,12.4375,4.760384559631348
17-02-1982,12.21875,12.34375,1125200,12.4375,12.25,4.6886210441589355
18-02-1982,12.1875,12.3125,765200,12.4375,12.34375,4.724502086639404
19-02-1982,12.125,12.28125,774800,12.40625,12.21875,4.67666482925415
22-02-1982,11.65625,12.03125,1422000,12.40625,11.6875,4.473326683044434
23-02-1982,11.4375,11.6875,1600800,11.90625,11.75,4.497246742248535
24-02-1982,11.78125,12.0625,1030000,12.34375,12.28125,4.700582504272461
25-02-1982,11.875,12.09375,789200,12.28125,12.09375,4.628814220428467
26-02-1982,11.90625,12.03125,640000,12.125,11.96875,4.580971717834473
01-03-1982,11.5625,11.8125,977600,12.03125,11.75,4.497246742248535
02-03-1982,11.03125,11.4375,1373200,11.84375,11.0625,4.234111785888672
03-03-1982,10.5625,10.6875,2811200,10.8125,10.75,4.114502429962158
04-03-1982,10.4375,10.6875,4486800,10.9375,10.75,4.114502429962158
05-03-1982,10.53125,10.6875,2571200,10.84375,10.78125,4.126463413238525
08-03-1982,10.0,10.5,2307600,10.96875,10.0625,3.8513665199279785
09-03-1982,10.09375,10.5625,2858800,11.0,10.59375,4.074949741363525
10-03-1982,10.5,10.8125,1601600,11.125,10.875,4.183132648468018
11-03-1982,10.625,10.8125,1247200,10.96875,10.8125,4.159093856811523
12-03-1982,10.59375,10.71875,1305600,10.84375,10.65625,4.098989486694336
15-03-1982,10.625,10.84375,1224400,11.03125,11.0,4.23121452331543
16-03-1982,10.8125,10.96875,1113200,11.125,10.84375,4.171112537384033
17-03-1982,10.625,10.8125,759600,10.96875,10.65625,4.098989486694336
18-03-1982,10.65625,10.8125,1245200,10.96875,10.875,4.183132648468018
19-03-1982,10.65625,10.875,1400800,10.9375,10.71875,4.1230292320251465
22-03-1982,10.78125,10.9375,1125600,11.0625,11.0625,4.255255222320557
23-03-1982,10.84375,11.0,1092800,11.125,11.0625,4.255255222320557
24-03-1982,10.96875,11.125,1596800,11.25,11.125,4.279293537139893
25-03-1982,10.9375,11.125,1070400,11.3125,11.0,4.23121452331543
26-03-1982,10.53125,10.75,1150400,10.96875,10.625,4.08696985244751
29-03-1982,10.46875,10.625,644800,10.75,10.75,4.135049819946289
30-03-1982,10.5625,10.65625,793200,10.71875,10.65625,4.098989486694336
31-03-1982,10.59375,10.6875,1119200,10.78125,10.65625,4.098989486694336
01-04-1982,10.5625,10.8125,1167600,11.0625,11.0625,4.255255222320557
02-04-1982,11.09375,11.3125,1537200,11.53125,11.4375,4.399499893188477
05-04-1982,11.0625,11.25,699600,11.4375,11.1875,4.3033366203308105
06-04-1982,11.1875,11.3125,776000,11.4375,11.40625,4.387481689453125
07-04-1982,11.40625,11.53125,1457600,11.625,11.53125,4.435564994812012
08-04-1982,11.53125,11.71875,1549600,11.875,11.6875,4.495666980743408
12-04-1982,11.5,11.625,884800,11.71875,11.53125,4.435564994812012
13-04-1982,11.40625,11.53125,804400,11.65625,11.4375,4.399499893188477
14-04-1982,11.25,11.34375,692800,11.4375,11.40625,4.387481689453125
15-04-1982,11.21875,11.3125,452800,11.375,11.3125,4.351418972015381
16-04-1982,11.28125,11.3125,768800,11.5625,11.375,4.375460147857666
19-04-1982,11.1875,11.3125,713600,11.40625,11.21875,4.315359592437744
20-04-1982,10.75,10.96875,1103600,11.1875,10.84375,4.171112537384033
21-04-1982,10.34375,10.53125,2250800,10.71875,10.5625,4.062928676605225
22-04-1982,10.6875,10.96875,2845600,11.21875,11.21875,4.315359592437744
23-04-1982,11.4375,11.625,2343200,11.8125,11.75,4.519705295562744
26-04-1982,11.6875,11.96875,2468000,12.21875,12.0,4.615870475769043
27-04-1982,11.53125,11.78125,1718400,12.0,11.625,4.471624374389648
28-04-1982,11.4375,11.59375,1735600,11.75,11.65625,4.483645439147949
29-04-1982,11.5,11.625,1164800,11.75,11.53125,4.435564994812012
30-04-1982,11.5,11.59375,911200,11.6875,11.5,4.423541069030762
03-05-1982,11.4375,11.5625,1023200,11.6875,11.65625,4.483645439147949
04-05-1982,11.6875,11.84375,1966800,11.96875,11.9375,4.591827392578125
05-05-1982,11.6875,11.875,1378800,12.03125,11.84375,4.5557661056518555
06-05-1982,11.875,11.96875,1312000,12.0625,12.0,4.615870475769043
07-05-1982,12.09375,12.25,1761600,12.375,12.25,4.712033748626709
10-05-1982,11.90625,12.09375,1481200,12.25,12.03125,4.627893924713135
11-05-1982,11.875,12.125,2420400,12.34375,12.21875,4.700016498565674
12-05-1982,12.03125,12.25,1472800,12.4375,12.03125,4.627893924713135
13-05-1982,12.09375,12.21875,1064000,12.3125,12.1875,4.687993049621582
14-05-1982,12.0625,12.125,777600,12.1875,12.1875,4.687993049621582
17-05-1982,11.90625,12.03125,871600,12.125,11.9375,4.591827392578125
18-05-1982,11.71875,11.8125,784800,11.90625,11.8125,4.543745040893555
19-05-1982,11.4375,11.65625,622800,11.875,11.5,4.423541069030762
20-05-1982,11.3125,11.46875,1421200,11.625,11.625,4.471624374389648
21-05-1982,11.625,11.71875,993600,11.78125,11.71875,4.507688045501709
24-05-1982,11.5,11.625,747600,11.75,11.75,4.519705295562744
25-05-1982,11.5625,11.75,988800,11.90625,11.5625,4.447587966918945
26-05-1982,11.21875,11.3125,2038800,11.40625,11.25,4.327378749847412
27-05-1982,11.125,11.21875,1097600,11.3125,11.21875,4.315359592437744
28-05-1982,10.875,11.09375,880000,11.28125,10.9375,4.207173824310303
01-06-1982,11.0,11.09375,1130400,11.1875,11.1875,4.3033366203308105
02-06-1982,10.6875,10.9375,1629200,11.1875,10.78125,4.147069931030273
03-06-1982,10.25,10.53125,2386800,10.78125,10.53125,4.050908088684082
04-06-1982,10.0625,10.28125,1426800,10.5,10.25,3.9427247047424316
07-06-1982,9.9375,10.125,2116000,10.28125,10.21875,3.93070387840271
08-06-1982,9.8125,10.03125,3626000,10.25,9.875,3.820911407470703
09-06-1982,9.40625,9.59375,2973600,9.75,9.59375,3.7120866775512695
10-06-1982,9.65625,9.78125,2408400,9.875,9.875,3.820911407470703
11-06-1982,9.96875,10.125,2722000,10.28125,10.25,3.966010093688965
14-06-1982,10.0,10.125,1371600,10.21875,10.03125,3.881368637084961
15-06-1982,9.8125,9.90625,1032000,10.0,9.9375,3.8450944423675537
16-06-1982,9.6875,9.90625,1276000,10.09375,9.71875,3.760451555252075
17-06-1982,9.5,9.625,1393200,9.75,9.53125,3.687903881072998
18-06-1982,9.46875,9.5625,1168000,9.625,9.59375,3.7120866775512695
21-06-1982,9.53125,9.71875,1160800,9.875,9.625,3.72417950630188
22-06-1982,9.5625,9.78125,1119200,10.0,9.96875,3.8571841716766357
23-06-1982,9.90625,10.125,1660400,10.34375,10.34375,4.002280235290527
24-06-1982,9.90625,10.125,1463200,10.3125,9.96875,3.8571841716766357
25-06-1982,9.71875,9.84375,887600,9.9375,9.71875,3.760451555252075
28-06-1982,9.71875,9.84375,1187600,9.9375,9.875,3.820911407470703
29-06-1982,9.625,9.78125,905600,9.9375,9.71875,3.760451555252075
30-06-1982,9.53125,9.6875,1291600,9.84375,9.5625,3.6999964714050293
01-07-1982,9.1875,9.40625,1618800,9.59375,9.21875,3.5669901371002197
02-07-1982,8.9375,9.0625,2031200,9.1875,8.9375,3.458167552947998
06-07-1982,8.9375,9.09375,1334800,9.21875,9.21875,3.5669901371002197
07-07-1982,9.15625,9.25,1024800,9.3125,9.1875,3.554898977279663
08-07-1982,8.875,9.09375,2107600,9.3125,9.28125,3.591174840927124
09-07-1982,9.28125,9.5625,1682800,9.8125,9.6875,3.748363971710205
12-07-1982,9.125,9.25,1211600,9.375,9.375,3.6274468898773193
13-07-1982,9.15625,9.25,968800,9.34375,9.1875,3.554898977279663
14-07-1982,9.125,9.25,1211600,9.375,9.375,3.6274468898773193
15-07-1982,9.15625,9.3125,1389600,9.46875,9.1875,3.554898977279663
16-07-1982,9.03125,9.21875,71600,9.40625,9.15625,3.542806625366211
19-07-1982,9.0625,9.25,928400,9.4375,9.15625,3.542806625366211
20-07-1982,8.96875,9.125,1279600,9.25,9.25,3.5790810585021973
21-07-1982,9.15625,9.3125,1284800,9.4375,9.1875,3.554898977279663
22-07-1982,9.25,9.375,1768800,9.46875,9.4375,3.65163254737854
23-07-1982,9.53125,9.75,1998000,9.9375,9.875,3.820911407470703
26-07-1982,9.78125,9.9375,1618800,10.0625,9.8125,3.7967286109924316
27-07-1982,9.53125,9.71875,1047200,9.90625,9.59375,3.7120866775512695
